Nazwa|Cena|Stan nieruchomości|Pow. całkowita|Pow. użytkowa|Piętro|Liczba pięter|Liczba poziomów mieszkania|Typ kuchni|Liczba łazienek|Pow. łazienki|łazienka razem z WC|Balkon|Taras|Rynek|Dostępne od|Forma własności|Rodzaj umowy|Typ budynku|Materiał budowlany|Rok budowy|Stan budynku|Ogrzewanie|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Inwestycja|Pow. ogródka|Liczba sypialni|Pow. tarasu|Pow. loggii|Wysokość wnętrza|Stolarka okienna|Pow. balkonu|Dodatkowe koszty|Cena do negocjacji|Typ nieruchomości|Typ domu|Pow. działki|Lokalizacja garażu
Luksusowe mieszkanie w sercu Wrzeszcza|1 028 430 zł||76,18 m²||2/10|10|1|||||||Pierwotny||||Apartamentowiec||2025||Co Miejskie|25.09.2023|19.03.2024|morizon-308794|915|26||||||||||||||
Dwupoziomowe mieszkanie w pięknej okolicy|995 000 zł|Bardzo dobry|137 m²|113 m²|1/2|2|2|Aneks|2|8 m²|Tak|Tak|Tak|Wtórny|2024-04-10|Własność|Na wyłączność|Apartamentowiec|Bloczki|2013|Bardzo dobry|Miejskie|09.04.2024|09.04.2024|morizon-233|16|0||||||||||||||
Apartament na najwyższym piętrze niedaleko morza|2 655 455 zł||126,09 m²||10/10|10|1|||||||Pierwotny||||Apartamentowiec||2025||Co Miejskie|25.09.2023|19.03.2024|morizon-732071|707|26||||||||||||||
Doskonale skomunikowane mieszkanie w kamienicy|1 074 700 zł||70,25 m²||2/2|2|1|||||||Wtórny|2023-10-27|||Kamienica|Cegła|1900||Co Miejskie|27.10.2023|07.02.2024|morizon-828008876|1 460|26|||2|||||||||||
Apartament z wysokim potencjałem inwestycyjnym|6 900 000 zł||174 m²||1/3|3|1|||||Tak||Wtórny|2023-03-29||Na wyłączność|Apartamentowiec||2013||Co Miejskie|29.03.2023|08.02.2024|morizon-733043|2 532|26|||3|||||||||||
Gustowny apartament z dwoma tarasami - Letnica|1 499 999 zł||87,68 m²||5/17|17|1|||||Tak|Tak|Wtórny||||Apartamentowiec||2023||Co Miejskie|05.04.2024|10.04.2024|morizon-861963|23|25|||3|||||||||||
"Gotowiec inwestycyjny | kilometr od plaży"|639 000 zł||46 m²||11/11|11||||||||Wtórny|2024-03-12|||Falowiec|Wielka płyta|1971||Co Miejskie|26.03.2024|08.04.2024|morizon-234362|163|25|||2|||||||||||
Przyjazne dzieciom apartamenty inwestycyjne+studio|2 450 000 zł|BARDZO WYSOKI STANDARD|102 m²||4/4|4||ANEKS KUCHENNY||||||Wtórny||WŁASNOŚĆ|Na wyłączność|MIESZKALNO-BIUROWY|CEGŁA|2000||C.O. Z SIECI MIEJSKIEJ|24.03.2024|08.04.2024|morizon-16685/5571/OMS|50|25||||||||||||||
Opis nieruchomości|726 283 zł||43,49 m²||1/4|4||||||||Pierwotny||||||2025|||07.06.2023|05.04.2024|morizon-A.0.03|1 214|25|Duet Jaśkowa Dolina|||||||||||||
3 pokoje/ Brzeźno/ 150m do plaży|819 000 zł||52 m²||3/4|4|1|||||||Wtórny|2024-04-30|||||1975|||23.03.2024|10.04.2024|morizon-183135|144|25||||||||||||||
Opis nieruchomości|1 098 944 zł||71,36 m²||1/4|4||||||||Pierwotny||||||2025|||07.06.2023|05.04.2024|morizon-A.0.04|967|25|Duet Jaśkowa Dolina|||||||||||||
"Zadbane 2 p. mieszkanie CHEŁM| oddzielna kuchnia"|585 000 zł||45,08 m²|||3|1|||||Tak||Wtórny|||Na wyłączność|Blok Mieszkalny|Porotherm|2002||Co Miejskie|20.03.2024|05.04.2024|morizon-TH556522|191|25|||1|||||||||||
Opis nieruchomości|488 998 zł||39,17 m²||1/3|3||||||||Pierwotny||||||2025|||08.03.2024|21.03.2024|morizon-10|254|25|Wolne Miasto Etap VII|||||||||||||
Opis nieruchomości|770 669 zł||70,21 m²||1/3|3||||||||Pierwotny||||||2025|||01.03.2024|21.03.2024|morizon-41|190|25|Wolne Miasto Etap VII|||||||||||||
Opis nieruchomości|771 844 zł||68,67 m²||1/3|3||||||||Pierwotny||||||2025|||01.03.2024|21.03.2024|morizon-54|165|25|Wolne Miasto Etap VII|||||||||||||
2 pokoje w cenie 3! Wysoki parter, balkon i do własnej aranżacji! Cisza|599 000 zł|Bardzo dobry|55,90 m²|||3|1|Osobna|1|4 m²|Tak|Tak|Nie|Wtórny|2024-02-29|Własność|Na wyłączność|Blok|Pustak|2005|Dobry|Miejskie|29.02.2024|04.04.2024|morizon-2024/GD/KK/W/1|447|25||||||270 cm||6 m²||Tak||||
2 pokoje/ Przymorze/ 1000m od plaży|639 000 zł||45 m²|||4|1|||||Tak||Wtórny||||Blok Mieszkalny|Wielka płyta|1970||Co Miejskie|14.03.2024|21.03.2024|morizon-186302|560|25|||1|||||||||||
3 pokojowy apartament z ogrodem / Gdańsk ul. Lema|899 000 zł||62,36 m²|||7||||||||Wtórny||||Apartamentowiec|Pustak|2016||Co Miejskie|24.02.2024|02.04.2024|morizon-737871|372|25|||2|||||||||||
Apartament z loggią o powierzchni 35 m2 z panorami|1 620 000 zł||79,30 m²||17/18|18||Półotwarta|2||Nie|Nie|Nie|Wtórny|05.03.2024|Własność|Na wyłączność|||2017|Bardzo dobry|C.o. miejskie|04.03.2024|04.04.2024|morizon-SB01909|199|25|||||34,89 m²|||34,89 m²||||||
2 pokoje Po generalnym remoncie Umeblowane Chełm|549 000 zł||35 m²||6/10|10||||||Tak||Wtórny||||Blok Mieszkalny||1977||Co Miejskie|21.02.2024|04.04.2024|morizon-EC111111891293|282|25|||3|||||||||||
Opis nieruchomości|1 659 043 zł||77,63 m²|||||||||||Pierwotny||||||2024|||01.03.2024|10.04.2024|morizon-28-28.2|325|25|KAMIENNA 28|||||||||||||
Opis nieruchomości|2 193 135 zł||109,11 m²|||||||||||Pierwotny||||||2024|||01.03.2024|10.04.2024|morizon-28-28.21|325|25|KAMIENNA 28|||||||||||||
Świetna lokalizacja, pakiet 7 kawalerek PREMIUM|3 216 428 zł||187,02 m²||2/5|5||Półotwarta|1||Nie|Nie|Nie|Wtórny||Własność|Na wyłączność|||2022|Wysoki standard|C.o. miejskie|09.02.2024|10.04.2024|morizon-RR02067|381|25||||||||||||||
Mieszkanie z całym wyposażeniem|699 000 zł||72 m²||1/2|2||||||Tak|Nie|Wtórny||||Blok Mieszkalny|YTong|2019||Gazowe|01.02.2024|04.04.2024|morizon-PAN807776|281|25||||||||||||||
Opis nieruchomości|839 900 zł||73,56 m²||1/3|3||||||Tak||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.12|39|25|Apartamenty Diuna|||||||9,33 m²||||||
Opis nieruchomości|849 900 zł||73,56 m²||2/3|3||||||Tak||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.23|32|25|Apartamenty Diuna|||||||9,33 m²||||||
Opis nieruchomości|849 900 zł||74,52 m²||1/3|3||||||Tak||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.22|34|25|Apartamenty Diuna|||||||7,12 m²||||||
Do wykończenia pod klucz - Morena|880 000 zł|Do wykończenia|73 m²|||3|1|Aneks|2||Tak|Tak|Tak|Wtórny|2024-03-01|Własność||Blok|Beton|2023|Bardzo dobry|Miejskie|09.02.2024|04.04.2024|morizon-2023/PM/512|470|25||||||265 cm||||Tak||||
Nowoczesne apartamenty w sercu Gdańska|1 207 605 zł||65,72 m²||1/5|5||||||Tak||Pierwotny|2024-06-30|||Apartamentowiec||2024||Co Miejskie|08.02.2024|01.04.2024|morizon-EC602731|292|25|||2|||||||||||
3 pokojowe na Przymorzu ul. Szczecińska|1 280 000 zł||68,21 m²|||2|||||||Tak|Wtórny||||||2017|||22.03.2024|09.04.2024|morizon-841776|84|25|||2|||||||||||
Nowa Cena *Prawdziwe zdjęcia*|1 179 000 zł||65,50 m²||13/17|17||||||||Wtórny||||||2021||Co Miejskie|19.02.2024|08.04.2024|morizon-228121|210|25|||2|||||||||||
Unikatowy apartament w zabytkowej kamienicy|1 995 000 zł|Bardzo dobry|113 m²|||3|1|Otwarta|2|4,20 m²|Tak|Nie|Nie|Wtórny||Własność|Na wyłączność|Kamienica|Cegła|1902|Dobry|Gazowe|05.02.2024|03.04.2024|morizon-272|1 095|25||40 m²||||||||||||
Wyjątkowe mieszkanie z antresolą!Katalogowe wnętrza-zobacz sam|1 299 000 zł|Bardzo dobry|95,16 m²||4/4|4|1|Otwarta|1|8,70 m²|Tak|Nie|Nie|Wtórny|2024-04-30|Własność|Na wyłączność|Kamienica|Cegła|1950|Dobry|Gazowe|01.03.2024|12.03.2024|morizon-24/PB/W/4|409|25||||||300 cm||||||||
"Przestronne 3-pokojowe mieszkanie | Chełm"|769 000 zł||57,20 m²|||5||||||Tak||Wtórny||||Blok Mieszkalny||2007||Co Miejskie|17.02.2024|04.03.2024|morizon-00442289|339|25|||2|||||||||||
Mieszkanie 4 pokoje w Śródmieściu|999 000 zł||101,86 m²||2/3|3||||||||Wtórny|2024-02-13|||Kamienica||1900||Brak|13.02.2024|01.04.2024|morizon-115334|202|25||||||||||||||
Mieszkanie 4 pokoje 137 m2 o funkcjonalności domu|1 149 000 zł||137 m²||2/2|2||||||Tak||Wtórny|||Na wyłączność|Blok Mieszkalny||2003||Co Własne|09.02.2024|13.03.2024|morizon-DH986357|379|25|||3|||||||||||
Kameralne osiedle I 3 pokoje I Świetna lokalizacja|870 000 zł||100 m²||1/2|2|2|||||Tak||Wtórny|||Na wyłączność|Dom Wielorodzinny||2017||Gazowe|05.12.2023|10.04.2024|morizon-00299301|245|25|||2|||||||||||
Kawalerka Zaspa-Młyniec|478 000 zł||30,90 m²||5/10|10|1|||||||Wtórny|||Na wyłączność|Wieżowiec|Wielka płyta|1976||Co Miejskie|09.04.2024|09.04.2024|morizon-610231|10|0||||||||||||||
Multipartament nad Motławą - widok na rzekę|1 490 000 zł||82,75 m²||1/5|5|||||||Tak|Wtórny|||Na wyłączność|Apartamentowiec|Konstrukcja mieszana|2021||Co Miejskie|21.08.2023|10.04.2024|morizon-TC173899146|733|25|||2|||||||||||
Apartament inwestycyjny Śląska 12 z umową najmu|475 820 zł||25,72 m²|||5||Półotwarta|1||Nie|Nie|Nie|Wtórny||Własność|Na wyłączność|||2022|Wysoki standard|C.o. miejskie|03.02.2024|13.03.2024|morizon-RR02060|382|25||||||||||||||
luksusowy apartament blisko morza, z widokiem na zatokę|1 120 000 zł|Idealny|54 m²||15/16|16||Aneks|||Tak|Tak||Wtórny||Własność||Apartamentowiec|Ceramiczny Porotherm|2022||Miejskie|09.06.2022|05.04.2024|morizon-2697|2 895|25|||2||6 m²|277 cm|PCV|||||||
Apartament z klimatyzacją i miejscem w hali garażo|535 638 zł||26,27 m²||4/5|5||Półotwarta|1||Nie|Nie|Nie|Wtórny||Własność|Na wyłączność|||2022|Wysoki standard|C.o. miejskie|09.02.2024|04.03.2024|morizon-RR02065|610|25||||||||||||||
"3 Pokoje Gdańsk | Wykończone"|733 635 zł||53,55 m²||2/3|3||||||||Pierwotny|||||||||29.02.2024|28.03.2024|morizon-217361|180|25||||||||||||||
"Apartament Gdańsk Oliwa | Gotowy do odbioru"|980 667 zł||52,13 m²||1/3|3||||||||Pierwotny||||||2023|||30.01.2024|28.03.2024|morizon-640910|206|25||||||||||||||
110m2 z przepięknym widokiem z ostatniego piętra|1 890 000 zł||110 m²||17/17|17||||||Tak||Wtórny|2024-03-11|||Apartamentowiec||2024|||11.03.2024|08.04.2024|morizon-840924|113|25||||||||||||||
Słoneczne mieszkanie, 3 pokojowe z ogrodem|620 000 zł|Do wykończenia|66,77 m²|||3|1|Aneks|1|4,50 m²|Tak|Nie|Tak|Pierwotny|2025-05-31|Własność||Blok|Pustak|2025|Rozpoczęta budowa|Miejskie|11.02.2024|25.03.2024|morizon-63|385|25||40 m²||12 m²||260 cm||||Tak||||
3 pokoje w centrum Gdanska|799 000 zł|Bardzo dobry|73 m²||4/4|4||||||Tak||Wtórny||||Blok|||||17.01.2024|08.04.2024|morizon-WST-MS-595-5|1 059|25|||||||PCV||650|||||
Apartament inwestycyjny, ostatnie piętro, k/SKM, U|420 641 zł||24,89 m²||5/5|5||Półotwarta|1||Nie|Nie|Nie|Wtórny||Własność|Na wyłączność|||2022|Wysoki standard|C.o. miejskie|30.12.2023|13.03.2024|morizon-RR02050|1 179|25||||||||||||||
Mieszkanie gotowe do wprowadzenia - nie wymaga remontu|620 000 zł|Dobry|38 m²||1/9|9|1|Aneks|1||Tak|Tak|Nie|Wtórny|2024-03-04|Własność|Na wyłączność|Blok|Pustak|2018|Dobry|Miejskie|12.02.2024|12.03.2024|morizon-2024/S/W/PM/1|641|25||||||||||Tak||||
2 pokoje 10 minut samochodem od Śródmieścia|349 000 zł||46,50 m²||3/4|4||||||||Wtórny|2024-03-06|||Blok Mieszkalny||1975||Co Miejskie|06.03.2024|08.04.2024|morizon-746481|318|25|||1|||||||||||
"3 pokoje | wykończone | dostępne od zaraz"|717 000 zł||53,55 m²|||3||||||||Pierwotny||||||2024|||23.02.2024|13.03.2024|morizon-550159|306|25||||||||||||||
Dwupoziomowy apartament, widok na centrum Gdańska|1 500 000 zł|WYSOKI STANDARD|147,80 m²||3/4|4||||||||Wtórny||||BLOK||1997||C.O. Z SIECI MIEJSKIEJ|18.07.2023|10.03.2024|morizon-39/7067/OMS|683|25||||||||||||||
Designerski apartament blisko starówki i Gumed|960 000 zł||42,25 m²||3/7|7|1|||||Tak||Wtórny|||Na wyłączność|||2022|||20.12.2023|22.03.2024|morizon-TC854568|1 007|25||||||||||||||
Sprzedam słoneczne 3 pokojowe mieszkanie, z garderobą, miejscem i piwnicą|730 000 zł|Bardzo dobry|57,46 m²||3/4|4|5|Aneks|||Tak|Tak|Nie|Wtórny|Lipiec 2024|Własność||Blok||2018||Miejskie|14.03.2024|09.04.2024|morizon-1538440364|470|25||||||||||Tak||||
Pilnie sprzedamy kawalerkę z oddzielną kuchnią|575 000 zł||38,50 m²|||4||||||||Wtórny|||Na wyłączność|Blok Mieszkalny|Cegła|1960||Co Miejskie|24.11.2023|01.03.2024|morizon-GOF980253|1 444|25|||1|||||||||||
Idealna inwestycja, trzy niezależne pokoje|699 000 zł||50 m²|||6||||||||Wtórny||||Blok Mieszkalny||||Co Miejskie|31.10.2023|29.11.2023|morizon-181516|1 354|25|||3|||||||||||
mieszkanie 2 pokojowe Lęborska|750 000 zł||42,70 m²||1/6|6||||||||Wtórny|Od zaraz||||||||07.04.2024|07.04.2024|morizon-1538585608|44|25||||||||||||||
Piękne mieszkanie 3-pokojowe w zielonym otoczeniu|790 000 zł||71,10 m²||1/4|4||||||||Wtórny|Od zaraz||||||||10.03.2024|11.03.2024|morizon-1538430363|419|25||||||||||||||
Apartament 1000 m od morza, 15 min od Gdańska. Kamerlana inwestycja PURA VIDA|730 000 zł||61 m²||1/1|1|2|Aneks|1|3,74 m²|Tak|Tak|Nie|Pierwotny|2024-05-31|Własność|Na wyłączność|Apartamentowiec|Bloczki|2023|Bardzo dobry|Elektryczne|07.12.2022|15.10.2023|morizon-4|2 734|25||||||300 cm||6 m²||||||
Mieszkanie 2-pokojowe Gdańsk|416 383 zł||38,35 m²||1/3|3||||||||Pierwotny||||||2024|||31.01.2024|31.03.2024|morizon-736855|452|25||||||||||||||
Gdańsk Stare Miasto 40 m2 dochodowe, 799 000 pln|799 000 zł|Bardzo dobry|38,75 m²||1/3|3|1|Osobna|||Tak|||Wtórny|Czerwiec 2024|Własność||Blok|Cegła|1950||Miejskie|27.03.2024|27.03.2024|morizon-1538542295|155|25||||||||||Tak||||
Sympatyczne 2 pokojowe Gdańsk Morena|620 000 zł||48,50 m²||4/4|4||||||||Wtórny|Od zaraz||||||||14.02.2024|15.03.2024|morizon-1538280571|371|25||||||||||Tak||||
4 pokoje + balkon * BEZ PROWIZJI * gotowe do odbioru|567 206 zł||63,33 m²||2/5|5||||||Tak||Pierwotny|2023-11-30|Własność||Blok|||||31.12.2023|28.02.2024|morizon-6-1|650|25||||||||||||||
Opis nieruchomości|394 500 zł||31,84 m²|||||||||||Pierwotny||||||2025|||27.03.2024|10.04.2024|morizon-B2-B2.42|12|20|Quercus|||||||||||||
Opis nieruchomości|402 000 zł||31,84 m²|||||||||||Pierwotny||||||2025|||02.02.2024|10.04.2024|morizon-B2-B2.52|98|20|Quercus|||||||||||||
Opis nieruchomości|448 973 zł||42,42 m²|||||||||||Pierwotny||||||2025|||21.12.2023|10.04.2024|morizon-A.1.1.4|337|20|Optima|||||||||||||
Opis nieruchomości|455 693 zł||42,62 m²|||||||||||Pierwotny||||||2025|||21.12.2023|10.04.2024|morizon-B.1.2.3|215|20|Optima|||||||||||||
Opis nieruchomości|459 864 zł||42,58 m²|||||||||||Pierwotny||||||2025|||21.12.2023|10.04.2024|morizon-B.2.3.3|152|20|Optima|||||||||||||
Opis nieruchomości|459 864 zł||42,58 m²|||||||||||Pierwotny||||||2025|||21.12.2023|10.04.2024|morizon-B.2.1.3|175|20|Optima|||||||||||||
Gotowa inwestycja - blisko morza|499 000 zł||30,90 m²||5/10|10||||||||Wtórny|2024-03-15||Na wyłączność|Blok Mieszkalny|Wielka płyta|1975||Co Miejskie|27.03.2024|05.04.2024|morizon-OE920533|186|20|||1|||||||||||
Mieszkanie - Gdańsk Jasień|550 000 zł||43,50 m²||4/4|4||Półotwarta|1|||Tak|Nie|Wtórny||Własność|Na wyłączność|||2013|Do odświeżenia|C.o. miejskie|25.03.2024|02.04.2024|morizon-JU05063|138|20||||||||6 m²||||||
Mieszkanie - Gdańsk Jasień|725 000 zł||75,93 m²||3/3|3|2|Osobna|1|||Tak|Nie|Wtórny||Spółdzielcze własnościowe z KW|Na wyłączność|||1993|Do odświeżenia|C.o. miejskie|05.04.2024|05.04.2024|morizon-JU05065|29|20||||||||6 m²||||||
Słoneczne 3 pokojowe mieszkanie w Gdańsku|540 000 zł||56 m²||3/3|3||||||Tak||Wtórny|||Na wyłączność|Blok Mieszkalny|Pustak|2013||Co Miejskie|28.03.2024|05.04.2024|morizon-OE205532|197|20|||2|||||||||||
Nowa Cena *Prawdziwe zdjęcia*|1 179 000 zł||65,50 m²||13/17|17||||||||Wtórny||||||2021||Co Miejskie|19.02.2024|08.04.2024|morizon-228121|210|25|||2|||||||||||
Opis nieruchomości|529 900 zł||32,68 m²||2/3|3||||||Tak||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.27|23|20|Apartamenty Diuna|||||||6,22 m²||||||
Przymorze, nowe budownictwo|1 150 000 zł||72,20 m²||3/3|3||||||Tak|Tak|Wtórny|||Na wyłączność|Blok Mieszkalny|Pustak|2009||Co Miejskie|07.03.2024|25.03.2024|morizon-PAN501296|240|20||||||||||||||
Opis nieruchomości|1 950 000 zł||79,40 m²|||4||OTWARTA||||||Wtórny||||APARTAMENTOWIEC||2012|||31.03.2024|04.04.2024|morizon-10273/3186/OMS|125|19||||||||||||||
Mieszkanie 80 m2 w kamienicy w centrum Gdańska|1 080 000 zł|Po remoncie|80 m²||1/2|2||||||Tak||Wtórny||||Kamienica||||Brak|15.03.2024|15.03.2024|morizon-25266|273|19|||||||Nowe PCV|||||||
Okazja! 2-pokojowe mieszkanie do wprowadzenia|539 000 zł|Do wprowadzenia|45 m²|||4||||||||Wtórny||||Blok||||Miejskie|04.04.2024|04.04.2024|morizon-25757|61|19|||||||Nowe PCV|||||||
Centrum*Świeżo po remoncie*Duży balkon*Od ręki|795 000 zł|Po remoncie|53 m²||1/3|3||||||Tak||Wtórny||||Kamienica||||Miejskie|20.03.2024|20.03.2024|morizon-25367|188|19|||||||Nowe PCV|||||||
Luksusowy Apartament Stare Miasto Gdańsk, Stara Stocznia 8|2 097 000 zł|Po remoncie|70 m²||4/6|6||||||Tak||Wtórny||||Apartamentowiec||2023||Miejskie|21.12.2023|29.03.2024|morizon-23513|1 426|19|||||||Nowe drewniane|||||||
po remoncie przymorze квартира|599 999 zł|Do wprowadzenia|38 m²||1/10|10||||||Tak||Wtórny||||Blok||1970||Miejskie|23.03.2024|23.03.2024|morizon-827863|174|19|||||||Nowe PCV|||||||
Sprzedam bezp. 2 pokojowe w Gdańsku w pięknej oko|535 000 zł|Do wprowadzenia|51 m²||1/4|4||||||Tak||Wtórny||||Blok||||Miejskie|20.02.2024|22.03.2024|morizon-24639|477|19|||||||Nowe PCV|||||||
Sprzedam mieszkanie blisko starówki|1 000 000 zł||67 m²||3/4|4||||||||Wtórny||||Nowe budownictwo||||Miejskie|24.03.2024|24.03.2024|morizon-827868|114|19||||||||||||||
Sprzedam bezp. 2 pok. miesz. w Gdańsku z widokiem na las, niski czynsz|535 000 zł|Do wprowadzenia|51 m²||1/4|4||||||Tak||Wtórny||||Blok||||Miejskie|05.07.2023|10.04.2024|morizon-20156|1 185|19|||||||Nowe PCV|||||||
gotowiec dla studenta pod inwestycje|549 000 zł|Po remoncie|30 m²|||10||||||Tak||Wtórny||||Blok||1970||Miejskie|23.03.2024|23.03.2024|morizon-827864|142|19|||||||Nowe PCV|||||||
mieszkanie przymorze|679 000 zł|Do wprowadzenia|31 m²||4/4|4||||||||Wtórny||||Blok||1960||Miejskie|17.03.2024|17.03.2024|morizon-827805|126|19|||||||Nowe PCV|||||||
po remoncie przymorze|699 999 zł|Do wprowadzenia|36 m²||4/10|10||||||||Wtórny||||Blok||||Miejskie|17.03.2024|17.03.2024|morizon-827804|177|19|||||||Nowe PCV|||||||
Opis nieruchomości|1 943 250 zł||77,73 m²|||||||||||Pierwotny||||||2024|||01.03.2024|10.04.2024|morizon-28-28.15|21|15|KAMIENNA 28|||||||||||||
Opis nieruchomości|2 166 318 zł||93,78 m²|||||||||||Pierwotny||||||2024|||01.03.2024|10.04.2024|morizon-28-28.10|24|15|KAMIENNA 28|||||||||||||
Opis nieruchomości|2 678 155 zł||116,95 m²|||||||||||Pierwotny||||||2024|||01.03.2024|10.04.2024|morizon-28-28.16|31|15|KAMIENNA 28|||||||||||||
Opis nieruchomości|579 900 zł||32,68 m²||3/3|3||||||Tak||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.38|9|15|Apartamenty Diuna|||||||6,22 m²||||||
Opis nieruchomości|619 900 zł||36,02 m²||3/3|3||||||Tak||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.39|18|15|Apartamenty Diuna|||||||6,82 m²||||||
Opis nieruchomości|689 900 zł||40,21 m²||3/3|3||||||Tak||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.37|15|15|Apartamenty Diuna|||||||6,90 m²||||||
Nowe mieszkanie 2 pokoje z ogródkiem|678 900 zł||46,50 m²|||3|1|Aneks|1|4,93 m²|Tak|Nie|Tak|Pierwotny|2024-12-02|Wieczyste użytkowanie||Blok||2024|Bardzo dobry|Miejskie|01.10.2023|24.03.2024|morizon-23610653|695|15||62 m²||7,90 m²||270 cm||||||||
Przymorze. Spóldzielcze - własnościowe. Słoneczne|645 000 zł||45 m²||4/4|4||Osobna|1|||Nie|Nie|Wtórny||Spółdzielcze własnościowe|Na wyłączność|||1977|Dobry|C.o. miejskie|08.04.2024|10.04.2024|morizon-HA015384|23|11||||||||||||||
4 pokoje z 2 balkonami, słoneczne - odbiór luty 20|665 500 zł||68,07 m²||1/4|4||Półotwarta|1||Nie|Tak|Nie|Pierwotny||Własność||||2025|Deweloperski|C.o. miejskie|03.04.2024|02.04.2024|morizon-HA015374|11|11||||||||4,60 m²||||||
Mieszkanie gotowe do zamieszkania lub wynajmu|435 000 zł||36,30 m²|||2||||||||Wtórny|||Na wyłączność|Kamienica||||Elektryczne|27.02.2024|12.03.2024|morizon-MA340870|245|11|||2|||||||||||
Opis nieruchomości|657 500 zł||66,02 m²|||||||||||Pierwotny||||||2025|||02.02.2024|10.04.2024|morizon-B2-B2.12|68|10|Quercus|||||||||||||
Opis nieruchomości|659 500 zł||66,18 m²|||||||||||Pierwotny||||||2025|||17.07.2023|10.04.2024|morizon-B2-B2.13|1 639|10|Quercus|||||||||||||
Opis nieruchomości|668 500 zł||66,30 m²|||||||||||Pierwotny||||||2025|||13.09.2023|10.04.2024|morizon-B2-B2.4|552|10|Quercus|||||||||||||
Opis nieruchomości|671 772 zł||66,02 m²|||||||||||Pierwotny||||||2025|||13.09.2023|10.04.2024|morizon-B2-B2.3|786|10|Quercus|||||||||||||
Opis nieruchomości|675 683 zł||65,17 m²|||||||||||Pierwotny||||||2025|||21.12.2023|10.04.2024|morizon-A.2.3.1|162|10|Optima|||||||||||||
Opis nieruchomości|680 234 zł||64,27 m²|||||||||||Pierwotny||||||2025|||21.12.2023|10.04.2024|morizon-B.2.5.4|171|10|Optima|||||||||||||
Opis nieruchomości|682 721 zł||65,17 m²|||||||||||Pierwotny||||||2025|||21.12.2023|10.04.2024|morizon-A.2.4.1|161|10|Optima|||||||||||||
Opis nieruchomości|683 820 zł||66,02 m²|||||||||||Pierwotny||||||2025|||02.02.2024|10.04.2024|morizon-B2-B2.41|58|10|Quercus|||||||||||||
Opis nieruchomości|689 759 zł||65,17 m²|||||||||||Pierwotny||||||2025|||21.12.2023|10.04.2024|morizon-A.2.5.1|167|10|Optima|||||||||||||
Opis nieruchomości|696 798 zł||65,17 m²|||||||||||Pierwotny||||||2025|||21.12.2023|10.04.2024|morizon-A.2.1.1|169|10|Optima|||||||||||||
Atrakcyjna nieruchomość w otulinie lasu|879 000 zł||65,83 m²||3/3|3|1|||||Tak||Wtórny|2024-03-04||Na wyłączność|Blok Mieszkalny|Pustak|2006||Co Miejskie|07.03.2024|06.04.2024|morizon-TC282270|100|10|||2|||||||||||
Nowa Cena *Prawdziwe zdjęcia*|1 179 000 zł||65,50 m²||13/17|17||||||||Wtórny||||||2021||Co Miejskie|19.02.2024|08.04.2024|morizon-228121|210|25|||2|||||||||||
Mieszkanie - Gdańsk Morena|769 000 zł||61,08 m²||3/3|3|2|Półotwarta|2|||Nie|Nie|Wtórny||Własność|Na wyłączność|||2008|Dobry|C.o. miejskie|02.03.2024|06.04.2024|morizon-ZA016489|179|10||||||||||||||
Opis nieruchomości|999 900 zł||73,56 m²||3/3|3||||||Tak||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.34|13|10|Apartamenty Diuna|||||||9,33 m²||||||
Opis nieruchomości|999 900 zł||89,14 m²|||3||||||||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.1|14|10|Apartamenty Diuna|||7,20 m²|68,10 m²|||||||||
Opis nieruchomości|1 049 900 zł||74,52 m²||3/3|3||||||Tak||Pierwotny||||||2024|||29.03.2024|03.04.2024|morizon-0.44|16|10|Apartamenty Diuna|||||||7,12 m²||||||
Spółdzielczo własnościowe 3 pokoje Orunia Górna|590 000 zł||61 m²|||4||||||Tak||Wtórny|||Na wyłączność|Blok Mieszkalny|Wielka płyta|1993||Co Miejskie|29.03.2024|29.03.2024|morizon-164473|80|10|||2|||||||||||
Atrakcyjny apartament Oliwa Park|1 699 000 zł||79,80 m²||3/4|4||||||Tak|Tak|Wtórny||Własność||Blok|||||13.01.2024|04.04.2024|morizon-6|348|10||||16 m²||||6 m²||||||
Mieszkanie - Gdańsk Łostowice|630 000 zł||66,39 m²||5/5|5||Półotwarta|2|||Tak|Nie|Pierwotny||Własność||||2022|Deweloperski|C.o. miejskie|12.03.2024|29.03.2024|morizon-ZA016467|64|10||||||||||||||
Mieszkanie - Gdańsk Łostowice|635 000 zł||66,59 m²||5/5|5||Półotwarta|1||Nie|Nie|Tak|Wtórny||Własność||||2022|Deweloperski|C.o. miejskie|12.03.2024|12.03.2024|morizon-ZA016466|77|10||||||||||||||
